CITY_ENG,JCODE,mean
,,17.649999757476202
,,4.93720715154401
,,3.47681361984804
,,0.0879310351507417
,,10.096390038001829
Aomori-shi,02201,5.314430151930569
Hirosaki-shi,02202,4.074508808466086
Hachinohe-shi,02203,7.976451720728578
Kuroishi-shi,02204,2.6250071284013323
Goshogawara-shi,02205,1.9647732436980263
Towada-shi,02206,1.350847720630776
Misawa-shi,02207,10.26682815765543
Mutsu-shi,02208,1.1668315856607578
Tsugaru-shi,02209,2.487560493991522
Hirakawa-shi,02210,1.7814054294850348
Hiranai-machi,02301,1.1662605112383009
Imabetsu-machi,02303,0.8361083747963501
Yomogita-mura,02304,0.8442188434277803
Sotogahama-machi,02307,0.9009935540344077
Ajigasawa-machi,02321,1.0045248073793254
Fukaura-machi,02323,0.4977210443808241
Nishimeya-mura,02343,0.46894904512095176
Fujisaki-machi,02361,6.87807789907652
Owani-machi,02362,1.4099328922801402
Inakadate-mura,02367,7.702403534816687
Itayanagi-machi,02381,5.173794019161333
Tsuruta-machi,02384,4.825536788141613
Nakadomari-machi,02387,0.8901697254697009
Noheji-machi,02401,2.7344679718784626
Shichinohe-machi,02402,1.1511686761378117
Rokunohe-machi,02405,2.343073975975066
Yokohama-machi,02406,1.3026297961056736
Tohoku-machi,02408,1.5107084202671948
Rokkasho-mura,02411,3.9289164166915107
Oirase-cho,02412,4.254262825694238
Oma-machi,02423,1.571455409135137
Higashidori-mura,02424,1.03399634267606
Kazamaura-mura,02425,0.9120216763192455
Sai-mura,02426,0.6068377812098282
Sannohe-machi,02441,1.233504646633266
Gonohe-machi,02442,1.3752245631925597
Takko-machi,02443,0.6438644989536874
Nanbu-cho,02445,1.4975594924098856
Hashikami-cho,02446,1.3891831293226646
Shingo-mura,02450,0.5162916101559917
Morioka-shi,03201,3.7515557333569234
Miyako-shi,03202,0.5040663544372984
Ofunato-shi,03203,0.8596396931991568
Hanamaki-shi,03205,1.5170805977458564
Kitakami-shi,03206,2.8979844054290482
Kuji-shi,03207,0.6698621907405681
Tono-shi,03208,0.6686816735022638
Ichinoseki-shi,03209,0.8123511433914934
Rikuzentakata-shi,03210,0.6415066352363766
Kamaishi-shi,03211,0.7682716312727691
Ninohe-shi,03213,0.8719396059968506
Hachimantai-shi,03214,0.8636817922785303
Oshu-shi,03215,1.2223360608729092
Takizawa-shi,03216,3.0745702573802225
Shizukuishi-cho,03301,0.752454438512771
Kuzumaki-machi,03302,0.46717550108998945
Iwate-machi,03303,0.7603999373393857
Shiwa-cho,03321,1.6041593279809339
Yahaba-cho,03322,7.065206925939237
Nishiwaga-machi,03366,0.725636742196295
Kanegasaki-cho,03381,2.1541840318501033
Hiraizumi-cho,03402,1.324051861768893
Sumita-cho,03441,0.5084775390099072
Otsuchi-cho,03461,0.6081415572283729
Yamada-machi,03482,0.5414820507923068
Iwaizumi-cho,03483,0.36743930618907983
Tanohata-mura,03484,0.5556305669267881
Fudai-mura,03485,0.6817271321197191
Karumai-machi,03501,0.7295310766251747
Noda-mura,03503,0.5473140747276198
Kunohe-mura,03506,0.8363700904745478
Hirono-cho,03507,0.5666126167618745
Ichinohe-machi,03524,0.9037566710746912
"Sendai-shi, Aoba-ku",04101,6.5525313676867025
"Sendai-shi, Miyagino-ku",04102,26.511979491121423
"Sendai-shi, Wakabayashi-ku",04103,14.491771272526707
"Sendai-shi, Taihaku-ku",04104,4.8713635129550354
"Sendai-shi, Izumi-ku",04105,9.474961950942378
Ishinomaki-shi,04202,1.9547957119417458
Shiogama-shi,04203,13.063199397138424
Kesennuma-shi,04205,0.9563541733454755
Shiroishi-shi,04206,1.0744692701482652
Natori-shi,04207,6.579086181929392
Kakuda-shi,04208,1.5837750587466337
Tagajo-shi,04209,22.76759706035514
Iwanuma-shi,04211,5.483474424827775
Tome-shi,04212,1.1748310877581314
Kurihara-shi,04213,1.0701289369372189
Higashimatsushima-shi,04214,2.8512318444168048
Osaki-shi,04215,1.780684436345216
Tomiya-shi,04216,6.966416751840236
Zao-machi,04301,1.1474760712599883
Shichikashuku-machi,04302,0.5006603502305684
Ogawara-machi,04321,3.685365654991306
Murata-machi,04322,1.809559676148856
Shibata-machi,04323,3.19212284725627
Kawasaki-machi,04324,0.9972599477288319
Marumori-machi,04341,0.5367267471219445
Watari-cho,04361,2.8089969302983966
Yamamoto-cho,04362,1.3800673559163132
Matsushima-machi,04401,2.3619158470802954
Shichigahama-machi,04404,9.957277686578456
Rifu-cho,04406,7.31320298926219
Taiwa-cho,04421,2.526760058960774
Osato-cho,04422,1.6387384906195555
Ohira-mura,04424,4.735457850254596
Shikama-cho,04444,1.2746792381061998
Kami-machi,04445,0.9643819195647362
Wakuya-cho,04501,1.3492846956137976
Misato-machi,04505,2.400365980120623
Onagawa-cho,04581,1.5294907801531825
Minamisanriku-cho,04606,0.6968817449303818
Akita-shi,05201,4.076141451896777
Noshiro-shi,05202,1.3216965379852916
Yokote-shi,05203,2.769630113904661
Odate-shi,05204,1.2637761369616063
Oga-shi,05206,1.4818953719535268
Yuzawa-shi,05207,1.1709063234234829
Kazuno-shi,05209,1.1952782564256894
Yurihonjo-shi,05210,1.207879211381136
Katagami-shi,05211,3.218883548214817
Daisen-shi,05212,1.9645434697919686
Kitaakita-shi,05213,0.6949816237992551
Nikaho-shi,05214,1.303262994293335
Semboku-shi,05215,0.7633626252968986
Kosaka-machi,05303,1.5287230755748482
Kamikoani-mura,05327,0.5027639477577355
Fujisato-machi,05346,0.4331789544911457
Mitane-cho,05348,0.8996625534873383
Happou-cho,05349,0.5700694669035634
Gojome-machi,05361,1.034094031216168
Hachirogata-machi,05363,2.766863310267141
Ikawa-machi,05366,2.053394792413812
Ogata-mura,05368,0.7878483364534965
Misato-cho,05434,2.3659375400343716
Ugo-machi,05463,1.1457744908417873
Higashinaruse-mura,05464,0.8138684790798524
Yamagata-shi,06201,5.889635911330432
Yonezawa-shi,06202,2.504801080990018
Tsuruoka-shi,06203,1.3016950419435591
Sakata-shi,06204,1.9139905456968276
Shinjo-shi,06205,2.34258057453382
Sagae-shi,06206,3.2409572960431707
Kaminoyama-shi,06207,2.1839826131059517
Murayama-shi,06208,2.097356177081846
Nagai-shi,06209,2.124628262356765
Tendo-shi,06210,5.7135600703181275
Higashine-shi,06211,3.595767478895664
Obanazawa-shi,06212,1.2025436768013902
Nanyo-shi,06213,2.6694551733589105
Yamanobe-machi,06301,2.538664337569609
Nakayama-machi,06302,4.640110216949939
Kahoku-cho,06321,4.158100148501941
Nishikawa-machi,06322,0.8837263207671717
Asahi-machi,06323,0.8945717951382771
Oe-machi,06324,1.2567646774148202
Oishida-machi,06341,1.6132285262071933
Kaneyama-machi,06361,0.9963094440909314
Mogami-machi,06362,0.6836838830798192
Funagata-machi,06363,1.0963667439358968
Mamurogawa-machi,06364,0.6203741499932454
Okura-mura,06365,0.6171796435584148
Sakegawa-mura,06366,1.084094871195495
Tozawa-mura,06367,0.7103074021123255
Takahata-machi,06381,2.252667337623625
Kawanishi-machi,06382,2.203267221201447
Oguni-machi,06401,0.5976116889189796
Shirataka-machi,06402,1.7436596673778346
Iide-machi,06403,1.0037297987488212
Mikawa-machi,06426,2.7532694908672575
Shonai-machi,06428,1.247713505785753
Yuza-machi,06461,0.8735533832600125
Fukushima-shi,07201,2.367730778130441
Aizuwakamatsu-shi,07202,2.9336472235719797
Koriyama-shi,07203,2.724888657211216
Iwaki-shi,07204,1.5157342351358254
Shirakawa-shi,07205,1.5378547315307671
Sukagawa-shi,07207,1.4621479772463735
Kitakata-shi,07208,1.0299396538381165
Soma-shi,07209,1.315484072345991
Nihonmatsu-shi,07210,1.0814927804054704
Tamura-shi,07211,0.7396112126761445
Minamisoma-shi,07212,0.9844742826644559
Date-shi,07213,1.2239682871436346
Motomiya-shi,07214,2.592400814339617
Kori-machi,07301,2.0335916160520355
Kunimi-machi,07303,1.9885094459300436
Kawamata-machi,07308,0.7844587590451543
Otama-mura,07322,0.9487794976008813
Kagamiishi-machi,07342,3.0984226824528895
Tenei-mura,07344,0.49372536491230984
Shimogo-machi,07362,0.4669619905303868
Hinoemata-mura,07364,0.3419391071292344
Tadami-machi,07367,0.39958479507112626
Minamiaizu-machi,07368,0.49352667772334863
Kitashiobara-mura,07402,0.6119885905668749
Nishiaizu-machi,07405,0.7518274151642507
Bandai-machi,07407,3.742540872781559
Inawashiro-machi,07408,1.5341428157976038
Aizubange-machi,07421,1.9573732688434025
Yugawa-mura,07422,3.379843755387585
Yanaizu-machi,07423,0.7030963120651589
Mishima-machi,07444,0.5456359335687322
Kaneyama-machi,07445,0.43188010784711384
Showa-mura,07446,0.3446819568965169
Aizumisato-machi,07447,0.9537721428988867
Nishigo-mura,07461,1.3774485675082455
Izumizaki-mura,07464,1.745213230965098
Nakajima-mura,07465,1.2289066910817372
Yabuki-machi,07466,1.839106842025163
Tanagura-machi,07481,0.7674546998497757
Yamatsuri-machi,07482,0.41025288539197396
Hanawa-machi,07483,0.43633364379095146
Samegawa-mura,07484,0.41388122866575844
Ishikawa-machi,07501,0.7978827444850493
Tamakawa-mura,07502,1.2045581237183376
Hirata-mura,07503,0.6295798092034393
Asakawa-machi,07504,1.0511536525506537
Furudono-machi,07505,0.396040995240985
Miharu-machi,07521,1.568770448240618
Ono-machi,07522,0.8842793905752294
Hirono-machi,07541,2.1579496416068786
Naraha-machi,07542,1.1717488860065515
Tomioka-machi,07543,1.2509006701686824
Kawauchi-mura,07544,0.3843791348854131
Okuma-machi,07545,1.5346526745752305
Futaba-machi,07546,0.7268584046379424
Namie-machi,07547,0.4587398032645646
Katsurao-mura,07548,0.4860964107246514
Shinchi-machi,07561,5.962842675271444
Iitate-mura,07564,0.5205613261976236
Mito-shi,08201,6.826863965277077
Hitachi-shi,08202,3.8066256561479817
Tsuchiura-shi,08203,7.966618492686827
Koga-shi,08204,7.036593276335905
Ishioka-shi,08205,2.255767502855342
Yuki-shi,08207,5.15082575745691
Ryugasaki-shi,08208,5.280471530625515
Shimotsuma-shi,08210,3.6491950648397147
Joso-shi,08211,4.012658726327343
Hitachiota-shi,08212,0.9477104100717184
Takahagi-shi,08214,1.092991554086686
Kitaibaraki-shi,08215,1.2858849443707956
Kasama-shi,08216,1.8843825776730934
Toride-shi,08217,7.174244324871608
Ushiku-shi,08219,6.842297730402768
Tsukuba-shi,08220,6.12075029097695
Hitachinaka-shi,08221,8.368019275241926
Kashima-shi,08222,7.472796474589932
Itako-shi,08223,2.990730758742888
Moriya-shi,08224,11.490936597146025
Hitachiomiya-shi,08225,0.934620720334653
Naka-shi,08226,2.9555907827055625
Chikusei-shi,08227,3.1840901809504967
Bando-shi,08228,3.7193427652472426
Inashiki-shi,08229,1.7082012861565705
Kasumigaura-shi,08230,2.230856832575598
Sakuragawa-shi,08231,1.5761343157280348
Kamisu-shi,08232,9.940321571421745
Namegata-shi,08233,1.588296114377604
Hokota-shi,08234,1.541853636978407
Tsukubamirai-shi,08235,4.580399289025807
Omitama-shi,08236,2.779538565961817
Ibaraki-machi,08302,2.1906199284787897
Oarai-machi,08309,7.251529150630479
Shirosato-machi,08310,1.0232581553887428
Tokai-mura,08341,8.672533313373908
Daigo-machi,08364,0.6177325190382756
Miho-mura,08442,2.38494187051368
Ami-machi,08443,5.507275408893124
Kawachi-machi,08447,1.5573174891025972
Yachiyo-machi,08521,2.7931572650124017
Goka-machi,08542,6.404450294083272
Sakai-machi,08546,4.5301032122039295
