CITY_ENG,JCODE,mean
,,13.433821558162867
,,4.511246301251318
,,2.211781288699257
,,0.1380482583210386
,,11.849851129113173
Aomori-shi,02201,1.106557596482298
Hirosaki-shi,02202,0.7929248279740296
Hachinohe-shi,02203,4.9273378079893675
Kuroishi-shi,02204,0.4416227194238969
Goshogawara-shi,02205,0.4219075035350431
Towada-shi,02206,0.3945763163403354
Misawa-shi,02207,3.5151884731144603
Mutsu-shi,02208,0.43165836288924486
Tsugaru-shi,02209,0.437305657123853
Hirakawa-shi,02210,0.40599515114268464
Hiranai-machi,02301,0.2962871236521355
Imabetsu-machi,02303,0.31355576476475094
Yomogita-mura,02304,0.22235921158935423
Sotogahama-machi,02307,0.28281640738788183
Ajigasawa-machi,02321,0.21561357762811081
Fukaura-machi,02323,0.19761414570592786
Nishimeya-mura,02343,0.1645854707854773
Fujisaki-machi,02361,1.032794825688854
Owani-machi,02362,0.3109998673896049
Inakadate-mura,02367,1.1574668911615107
Itayanagi-machi,02381,0.6094657730293703
Tsuruta-machi,02384,0.5748168784821094
Nakadomari-machi,02387,0.31074644513320065
Noheji-machi,02401,0.5342327399333857
Shichinohe-machi,02402,0.33120495863012134
Rokunohe-machi,02405,0.8022032222711465
Yokohama-machi,02406,0.44204905923504434
Tohoku-machi,02408,0.4433466910905991
Rokkasho-mura,02411,0.9126482406650039
Oirase-cho,02412,1.6854691079547905
Oma-machi,02423,0.5348515212510633
Higashidori-mura,02424,0.5395689387713146
Kazamaura-mura,02425,0.5240116148452335
Sai-mura,02426,0.3017322341041277
Sannohe-machi,02441,0.31160089378018707
Gonohe-machi,02442,0.4634876219034653
Takko-machi,02443,0.18508381473622182
Nanbu-cho,02445,0.5173062614196929
Hashikami-cho,02446,0.5786174743361984
Shingo-mura,02450,0.1764586565005444
Morioka-shi,03201,1.0731358787980274
Miyako-shi,03202,0.23173553357879234
Ofunato-shi,03203,0.580770587589958
Hanamaki-shi,03205,0.4640051743206745
Kitakami-shi,03206,0.943221200602537
Kuji-shi,03207,0.2647273448608836
Tono-shi,03208,0.2011857996097281
Ichinoseki-shi,03209,0.3647297209290305
Rikuzentakata-shi,03210,0.314858902262268
Kamaishi-shi,03211,0.46218919937030967
Ninohe-shi,03213,0.26814932149387893
Hachimantai-shi,03214,0.25183784238753565
Oshu-shi,03215,0.4088564552609142
Takizawa-shi,03216,0.8487660283376492
Shizukuishi-cho,03301,0.22359363574563834
Kuzumaki-machi,03302,0.1207367375348212
Iwate-machi,03303,0.20658731085023455
Shiwa-cho,03321,0.4808028686995577
Yahaba-cho,03322,1.936410804110673
Nishiwaga-machi,03366,0.17138126450788457
Kanegasaki-cho,03381,0.7639825000451401
Hiraizumi-cho,03402,0.5212696790103658
Sumita-cho,03441,0.15652837997009747
Otsuchi-cho,03461,0.2944876590553678
Yamada-machi,03482,0.2230127775186727
Iwaizumi-cho,03483,0.10498620901027964
Tanohata-mura,03484,0.15543600548814496
Fudai-mura,03485,0.2595774148289615
Karumai-machi,03501,0.2230709362270857
Noda-mura,03503,0.2862954585012579
Kunohe-mura,03506,0.2696382889396695
Hirono-cho,03507,0.1968450623441115
Ichinohe-machi,03524,0.22143794510872072
"Sendai-shi, Aoba-ku",04101,4.239256447039011
"Sendai-shi, Miyagino-ku",04102,20.973987250608413
"Sendai-shi, Wakabayashi-ku",04103,11.556119089399322
"Sendai-shi, Taihaku-ku",04104,3.4298622919031083
"Sendai-shi, Izumi-ku",04105,5.830421385506405
Ishinomaki-shi,04202,1.4633653053548694
Shiogama-shi,04203,10.517165360826656
Kesennuma-shi,04205,0.6921873976344527
Shiroishi-shi,04206,0.6487294014670836
Natori-shi,04207,5.27600924467687
Kakuda-shi,04208,1.0201695526469567
Tagajo-shi,04209,16.98357924102737
Iwanuma-shi,04211,5.220288355909495
Tome-shi,04212,0.7228274745807289
Kurihara-shi,04213,0.5056058402472857
Higashimatsushima-shi,04214,1.9093389610382885
Osaki-shi,04215,0.8587516818953961
Tomiya-shi,04216,4.539724843574138
Zao-machi,04301,0.4661045410460858
Shichikashuku-machi,04302,0.17923226803633024
Ogawara-machi,04321,2.6927594354198434
Murata-machi,04322,1.1322498749609862
Shibata-machi,04323,2.3812546071107894
Kawasaki-machi,04324,0.42977097125284347
Marumori-machi,04341,0.2859566685402014
Watari-cho,04361,2.368077923836073
Yamamoto-cho,04362,1.082491424298523
Matsushima-machi,04401,1.5045237051829834
Shichigahama-machi,04404,8.164650661929956
Rifu-cho,04406,5.321482033957247
Taiwa-cho,04421,1.2968972055577508
Osato-cho,04422,0.8970786214779056
Ohira-mura,04424,2.3399394181925794
Shikama-cho,04444,0.4076944942498412
Kami-machi,04445,0.324887167010509
Wakuya-cho,04501,0.8809156578635774
Misato-machi,04505,1.3445081656748965
Onagawa-cho,04581,0.9869356838113585
Minamisanriku-cho,04606,0.38973671781184505
Akita-shi,05201,1.3029492274880063
Noshiro-shi,05202,0.41284216029571963
Yokote-shi,05203,0.5084564869028011
Odate-shi,05204,0.28703355642882494
Oga-shi,05206,0.39768654207889137
Yuzawa-shi,05207,0.28202434583539343
Kazuno-shi,05209,0.27414383411219945
Yurihonjo-shi,05210,0.36732403909730055
Katagami-shi,05211,0.872559152005306
Daisen-shi,05212,0.4385526779642628
Kitaakita-shi,05213,0.1974611198816506
Nikaho-shi,05214,0.5128919443593196
Semboku-shi,05215,0.20598800557765778
Kosaka-machi,05303,0.36505245580051615
Kamikoani-mura,05327,0.1696549142341457
Fujisato-machi,05346,0.14498565200932556
Mitane-cho,05348,0.27099409314823
Happou-cho,05349,0.17608176945931486
Gojome-machi,05361,0.33409615824122085
Hachirogata-machi,05363,0.9438565343378789
Ikawa-machi,05366,0.6188304770641104
Ogata-mura,05368,0.23617113098391695
Misato-cho,05434,0.4230023008265576
Ugo-machi,05463,0.28061843449068763
Higashinaruse-mura,05464,0.19219599628839365
Yamagata-shi,06201,2.2070968796988915
Yonezawa-shi,06202,0.7152788726482405
Tsuruoka-shi,06203,0.37705311648260365
Sakata-shi,06204,0.7659231408841725
Shinjo-shi,06205,0.5835368725101849
Sagae-shi,06206,1.0472359324590628
Kaminoyama-shi,06207,0.6602411354493706
Murayama-shi,06208,0.49586356312705954
Nagai-shi,06209,0.49797747612011345
Tendo-shi,06210,1.8808518822731897
Higashine-shi,06211,0.9130229556926006
Obanazawa-shi,06212,0.28304360258108074
Nanyo-shi,06213,0.7008931931036343
Yamanobe-machi,06301,0.6158057110133365
Nakayama-machi,06302,1.3207953478054293
Kahoku-cho,06321,0.9094362667408037
Nishikawa-machi,06322,0.21066047195499485
Asahi-machi,06323,0.24823066205801717
Oe-machi,06324,0.36213839041949686
Oishida-machi,06341,0.34462556239693565
Kaneyama-machi,06361,0.2528874128758568
Mogami-machi,06362,0.19583156577843955
Funagata-machi,06363,0.31093818123501676
Mamurogawa-machi,06364,0.20784760830465573
Okura-mura,06365,0.18504463449783132
Sakegawa-mura,06366,0.5845865956307412
Tozawa-mura,06367,0.2048451649086748
Takahata-machi,06381,0.5502416387235297
Kawanishi-machi,06382,0.5545725083859415
Oguni-machi,06401,0.1763886626155677
Shirataka-machi,06402,0.4351206840439597
Iide-machi,06403,0.28339280467333755
Mikawa-machi,06426,1.1110519647525552
Shonai-machi,06428,0.39122273339281133
Yuza-machi,06461,0.36006166760050196
Fukushima-shi,07201,1.4963357047281778
Aizuwakamatsu-shi,07202,1.0237508914569284
Koriyama-shi,07203,1.876223594109918
Iwaki-shi,07204,1.1784044018181177
Shirakawa-shi,07205,1.0798686187081201
Sukagawa-shi,07207,1.027122426346547
Kitakata-shi,07208,0.38966999014967013
Soma-shi,07209,0.986066241163631
Nihonmatsu-shi,07210,0.7017991031810664
Tamura-shi,07211,0.39177829115351825
Minamisoma-shi,07212,0.8314965791299812
Date-shi,07213,0.7819102474534408
Motomiya-shi,07214,1.9409227043042843
Kori-machi,07301,1.1881344698583887
Kunimi-machi,07303,1.0177564767567535
Kawamata-machi,07308,0.33603845703754415
Otama-mura,07322,0.5298910793353103
Kagamiishi-machi,07342,2.307291012693128
Tenei-mura,07344,0.19299178338689366
Shimogo-machi,07362,0.14563665488490626
Hinoemata-mura,07364,0.13898358403069622
Tadami-machi,07367,0.150509979238258
Minamiaizu-machi,07368,0.158363615470663
Kitashiobara-mura,07402,0.17837120681121357
Nishiaizu-machi,07405,0.26553274615732114
Bandai-machi,07407,0.43915539870946346
Inawashiro-machi,07408,0.2728175191658676
Aizubange-machi,07421,0.7559210800001303
Yugawa-mura,07422,1.2999961626807353
Yanaizu-machi,07423,0.23440952073764965
Mishima-machi,07444,0.1629672746439102
Kaneyama-machi,07445,0.1607396399102198
Showa-mura,07446,0.12393142542874484
Aizumisato-machi,07447,0.28969943177624236
Nishigo-mura,07461,0.7267389831708614
Izumizaki-mura,07464,0.9668521737344893
Nakajima-mura,07465,0.6553831454764676
Yabuki-machi,07466,1.271870328059113
Tanagura-machi,07481,0.45175443809962007
Yamatsuri-machi,07482,0.2105090511273216
Hanawa-machi,07483,0.2138364704906309
Samegawa-mura,07484,0.14832125232552695
Ishikawa-machi,07501,0.48640484937106954
Tamakawa-mura,07502,0.9098624410862726
Hirata-mura,07503,0.3016655477396571
Asakawa-machi,07504,0.5682219188285548
Furudono-machi,07505,0.17319899455482832
Miharu-machi,07521,1.0106971785250738
Ono-machi,07522,0.5700846451638276
Hirono-machi,07541,1.9354826366331115
Naraha-machi,07542,0.7001772797709325
Tomioka-machi,07543,0.7646511993491489
Kawauchi-mura,07544,0.17632379523011302
Okuma-machi,07545,0.9825499069736202
Futaba-machi,07546,0.41496939001035554
Namie-machi,07547,0.20400935783913948
Katsurao-mura,07548,0.19052216836128694
Shinchi-machi,07561,1.5930146526995592
Iitate-mura,07564,0.15415534737756612
Mito-shi,08201,6.2410585592414485
Hitachi-shi,08202,3.384591253965381
