CITY_ENG,JCODE,mean
,,13.009428352709639
,,4.708304602425649
,,3.521545455260452
,,-0.030873590116870814
,,11.495427208411986
Aomori-shi,02201,1.2255555800730789
Hirosaki-shi,02202,0.8004782736824871
Hachinohe-shi,02203,6.89744094993599
Kuroishi-shi,02204,0.42338424464890473
Goshogawara-shi,02205,0.5188312469577592
Towada-shi,02206,0.306879704037734
Misawa-shi,02207,3.664943849981794
Mutsu-shi,02208,0.24447339488108402
Tsugaru-shi,02209,0.5029490265744622
Hirakawa-shi,02210,0.25817173899928914
Hiranai-machi,02301,0.2262580744114349
Imabetsu-machi,02303,0.22717051678287284
Yomogita-mura,02304,0.18633035477237395
Sotogahama-machi,02307,0.1947486220501078
Ajigasawa-machi,02321,0.09889499056073052
Fukaura-machi,02323,0.05601418937719952
Nishimeya-mura,02343,0.04760720519949792
Fujisaki-machi,02361,1.2514858155434585
Owani-machi,02362,0.21367790907572684
Inakadate-mura,02367,1.3657403890118962
Itayanagi-machi,02381,0.8454567978406098
Tsuruta-machi,02384,0.8166464281507688
Nakadomari-machi,02387,0.2336430167821987
Noheji-machi,02401,0.5437305144997389
Shichinohe-machi,02402,0.17513817757350442
Rokunohe-machi,02405,0.7712109505193017
Yokohama-machi,02406,0.13403778866703253
Tohoku-machi,02408,0.282240865539294
Rokkasho-mura,02411,0.8823131701431142
Oirase-cho,02412,1.7436625630139366
Oma-machi,02423,0.327092221753342
Higashidori-mura,02424,0.1493650334880471
Kazamaura-mura,02425,0.17794175667716106
Sai-mura,02426,0.07120285411941618
Sannohe-machi,02441,0.2592839882098933
Gonohe-machi,02442,0.4146450387840383
Takko-machi,02443,0.08622104837497581
Nanbu-cho,02445,0.48077250962451573
Hashikami-cho,02446,0.4441924766308056
Shingo-mura,02450,0.16652680929457744
Morioka-shi,03201,1.2123253466378916
Miyako-shi,03202,0.1397271807603631
Ofunato-shi,03203,0.4431104198294247
Hanamaki-shi,03205,0.39253432846230685
Kitakami-shi,03206,0.9291792770898016
Kuji-shi,03207,0.17614811816919182
Tono-shi,03208,0.11537546378136765
Ichinoseki-shi,03209,0.2903628097796866
Rikuzentakata-shi,03210,0.2293435448925496
Kamaishi-shi,03211,0.3700443573441832
Ninohe-shi,03213,0.18353486241594624
Hachimantai-shi,03214,0.12727544696123155
Oshu-shi,03215,0.3520433492879192
Takizawa-shi,03216,0.8842526796330544
Shizukuishi-cho,03301,0.12740661201206135
Kuzumaki-machi,03302,0.03582958810624319
Iwate-machi,03303,0.11241382196939206
Shiwa-cho,03321,0.4400009120111999
Yahaba-cho,03322,1.9907440693102487
Nishiwaga-machi,03366,0.10268525862601008
Kanegasaki-cho,03381,0.6198233001637156
Hiraizumi-cho,03402,0.41212670637925564
Sumita-cho,03441,0.09622482192353195
Otsuchi-cho,03461,0.22436719578545178
Yamada-machi,03482,0.17049201598378042
Iwaizumi-cho,03483,0.028208680728284318
Tanohata-mura,03484,0.09982031196123474
Fudai-mura,03485,0.17426323846949773
Karumai-machi,03501,0.11200206499233432
Noda-mura,03503,0.20694978071711806
Kunohe-mura,03506,0.17057993966457904
Hirono-cho,03507,0.09091155929134596
Ichinohe-machi,03524,0.11696824908544654
"Sendai-shi, Aoba-ku",04101,3.885041579304793
"Sendai-shi, Miyagino-ku",04102,18.664051406043534
"Sendai-shi, Wakabayashi-ku",04103,10.668257930320763
"Sendai-shi, Taihaku-ku",04104,3.1536047816359845
"Sendai-shi, Izumi-ku",04105,5.153163181315877
Ishinomaki-shi,04202,1.3758792106408422
Shiogama-shi,04203,9.934503567274936
Kesennuma-shi,04205,0.597562454793223
Shiroishi-shi,04206,0.6513482799192732
Natori-shi,04207,4.948650772763519
Kakuda-shi,04208,0.9832814658622665
Tagajo-shi,04209,16.14120736388125
Iwanuma-shi,04211,4.165523294932452
Tome-shi,04212,0.6822677480820241
Kurihara-shi,04213,0.46566868864319644
Higashimatsushima-shi,04214,1.8730136728915168
Osaki-shi,04215,0.8049206982500661
