CITY_ENG,JCODE,mean
,,12.030800225718924
,,4.392450493117849
,,2.4739319267982687
,,-0.0022862909054624497
,,11.720992544220715
Aomori-shi,02201,5.110192561226758
Hirosaki-shi,02202,3.189670379227262
Hachinohe-shi,02203,6.2012666218795065
Kuroishi-shi,02204,1.5938435639807713
Goshogawara-shi,02205,1.6917084597534657
Towada-shi,02206,0.940764010715807
Misawa-shi,02207,10.31913425727152
Mutsu-shi,02208,1.0572445792486365
Tsugaru-shi,02209,2.4609792830575823
Hirakawa-shi,02210,1.288568582652996
Hiranai-machi,02301,0.9732724918467427
Imabetsu-machi,02303,0.6380159154680123
Yomogita-mura,02304,0.8794918136121426
Sotogahama-machi,02307,0.8206493837796675
Ajigasawa-machi,02321,0.7136885944966243
Fukaura-machi,02323,0.36879299755865846
Nishimeya-mura,02343,0.3553418907114515
Fujisaki-machi,02361,6.009209206230018
Owani-machi,02362,1.008376338191107
Inakadate-mura,02367,6.131037597820947
Itayanagi-machi,02381,4.033479336985534
Tsuruta-machi,02384,4.2971136293709895
Nakadomari-machi,02387,0.9675627045308135
Noheji-machi,02401,2.9204895647090794
Shichinohe-machi,02402,0.9772276535686948
Rokunohe-machi,02405,1.8577183735637317
Yokohama-machi,02406,1.1679819914386116
Tohoku-machi,02408,1.408800106645542
Rokkasho-mura,02411,4.340513481959001
Oirase-cho,02412,3.3050108929137783
Oma-machi,02423,1.0580666677344637
Higashidori-mura,02424,1.0457349057814358
Kazamaura-mura,02425,0.7409671280321332
Sai-mura,02426,0.4327656434478941
Sannohe-machi,02441,0.6788145507896414
Gonohe-machi,02442,0.833442138736085
Takko-machi,02443,0.38832871080257114
Nanbu-cho,02445,1.0587469019610203
Hashikami-cho,02446,0.8589895965236004
Shingo-mura,02450,0.34457326374654634
Morioka-shi,03201,1.6777075237626613
Miyako-shi,03202,0.3254722137871341
Ofunato-shi,03203,0.6575412065491664
Hanamaki-shi,03205,0.7546284212620203
Kitakami-shi,03206,1.6859728996827557
Kuji-shi,03207,0.3574621902841834
Tono-shi,03208,0.3617168077249907
Ichinoseki-shi,03209,0.49693311905601134
Rikuzentakata-shi,03210,0.38995263384363243
Kamaishi-shi,03211,0.5631363894845688
Ninohe-shi,03213,0.5827179544839745
Hachimantai-shi,03214,0.6079698327479691
Oshu-shi,03215,0.7147865097481668
Takizawa-shi,03216,1.6429076380316057
Shizukuishi-cho,03301,0.48717430072175283
Kuzumaki-machi,03302,0.3605406811534009
Iwate-machi,03303,0.49337637719866073
Shiwa-cho,03321,0.8051303057483489
Yahaba-cho,03322,2.8697863769747
Nishiwaga-machi,03366,0.5406447529508825
Kanegasaki-cho,03381,1.305197730638681
Hiraizumi-cho,03402,0.7138937254091946
Sumita-cho,03441,0.2827652390566018
Otsuchi-cho,03461,0.40728027300910147
Yamada-machi,03482,0.308756836173339
Iwaizumi-cho,03483,0.19531924452528499
Tanohata-mura,03484,0.2461350229950256
Fudai-mura,03485,0.3063782034572956
Karumai-machi,03501,0.41884266741890264
Noda-mura,03503,0.3173277321239835
Kunohe-mura,03506,0.5515115900311406
Hirono-cho,03507,0.29940021485018276
Ichinohe-machi,03524,0.5976569161056953
"Sendai-shi, Aoba-ku",04101,4.086931567138452
"Sendai-shi, Miyagino-ku",04102,18.87596551282266
"Sendai-shi, Wakabayashi-ku",04103,11.5788360712361
"Sendai-shi, Taihaku-ku",04104,3.3715183454658857
"Sendai-shi, Izumi-ku",04105,5.469561376686699
Ishinomaki-shi,04202,1.4738549288316452
Shiogama-shi,04203,8.970803704068096
Kesennuma-shi,04205,0.737084287638576
Shiroishi-shi,04206,0.6900089400892945
Natori-shi,04207,5.211690080874471
Kakuda-shi,04208,1.1205395110555534
Tagajo-shi,04209,17.058458284999695
Iwanuma-shi,04211,4.692864988401511
Tome-shi,04212,0.7285706792116549
Kurihara-shi,04213,0.5766091334454458
Higashimatsushima-shi,04214,1.9326573158592817
Osaki-shi,04215,1.0177446073432257
Tomiya-shi,04216,4.2970573113654265
Zao-machi,04301,0.7118533756250085
Shichikashuku-machi,04302,0.3440865122725142
Ogawara-machi,04321,2.6052837948207603
Murata-machi,04322,1.0832337512450014
Shibata-machi,04323,2.3439473079453155
Kawasaki-machi,04324,0.5820860861296508
Marumori-machi,04341,0.3663245844890791
Watari-cho,04361,2.231835481972674
Yamamoto-cho,04362,1.1606439026573807
Matsushima-machi,04401,1.4697309985345264
Shichigahama-machi,04404,7.50264027428868
Rifu-cho,04406,4.933262764292924
Taiwa-cho,04421,1.5161091934353776
Osato-cho,04422,1.0031323501226153
Ohira-mura,04424,2.7664672018653644
Shikama-cho,04444,0.7319158048463026
Kami-machi,04445,0.537717664993667
Wakuya-cho,04501,0.889273934877299
Misato-machi,04505,1.4294718927976031
Onagawa-cho,04581,0.990086488429594
Minamisanriku-cho,04606,0.43679544288543354
Akita-shi,05201,1.943690815171779
Noshiro-shi,05202,0.5417585297581885
Yokote-shi,05203,2.3308320285941093
Odate-shi,05204,1.0053058788699665
Oga-shi,05206,0.6634356777850605
Yuzawa-shi,05207,1.0492909081695545
Kazuno-shi,05209,0.9211714392439209
Yurihonjo-shi,05210,0.7607584045468253
