CITY_ENG,JCODE,mean
,,15.439536271505798
,,5.495514193922126
,,2.756113211798474
,,0.10689655383085384
,,8.600780452170024
Aomori-shi,02201,5.299224489029885
Hirosaki-shi,02202,3.797893908906247
Hachinohe-shi,02203,11.309912760763417
Kuroishi-shi,02204,2.3609205162984064
Goshogawara-shi,02205,1.7339872256249707
Towada-shi,02206,1.5744170688948587
Misawa-shi,02207,12.288230828487427
Mutsu-shi,02208,0.9513831716474411
Tsugaru-shi,02209,1.9910783150160924
Hirakawa-shi,02210,1.449276129346088
Hiranai-machi,02301,1.0080179974001742
Imabetsu-machi,02303,0.723389450015108
Yomogita-mura,02304,0.6985019707548507
Sotogahama-machi,02307,0.6995561859760073
Ajigasawa-machi,02321,0.9022363803663705
Fukaura-machi,02323,0.46588094677935504
Nishimeya-mura,02343,0.4912910070038929
Fujisaki-machi,02361,7.735281383729543
Owani-machi,02362,1.3253150848399045
Inakadate-mura,02367,7.9643307886104635
Itayanagi-machi,02381,5.470011722598979
Tsuruta-machi,02384,4.381278653992681
Nakadomari-machi,02387,0.8013309508460316
Noheji-machi,02401,2.5084108046173696
Shichinohe-machi,02402,1.1286694668904231
Rokunohe-machi,02405,3.2650158960172586
Yokohama-machi,02406,1.0180153906199025
Tohoku-machi,02408,1.5691798416243978
Rokkasho-mura,02411,3.157947717724752
Oirase-cho,02412,5.946138053164659
Oma-machi,02423,1.1207901317938034
Higashidori-mura,02424,0.8502696982837245
Kazamaura-mura,02425,0.6120569555092598
Sai-mura,02426,0.3916585660370205
Sannohe-machi,02441,1.0639800814454505
Gonohe-machi,02442,1.4433202353800882
Takko-machi,02443,0.5674667353126673
Nanbu-cho,02445,1.3037462072904764
Hashikami-cho,02446,1.3890666958388993
Shingo-mura,02450,0.48297649671478854
Morioka-shi,03201,2.1124674093204723
Miyako-shi,03202,0.4061544573989298
Ofunato-shi,03203,0.7974673904519296
Hanamaki-shi,03205,1.0126346052920512
Kitakami-shi,03206,2.243475188858042
Kuji-shi,03207,0.5780962323387737
Tono-shi,03208,0.4515108885387958
Ichinoseki-shi,03209,0.6491377159169759
Rikuzentakata-shi,03210,0.6479379689437407
Kamaishi-shi,03211,0.6740245361178626
Ninohe-shi,03213,0.7783597071049161
Hachimantai-shi,03214,0.7486229783462625
Oshu-shi,03215,0.89113855472545
Takizawa-shi,03216,2.187930847893125
Shizukuishi-cho,03301,0.6392727143532436
Kuzumaki-machi,03302,0.44792928297563483
Iwate-machi,03303,0.7119366268859287
Shiwa-cho,03321,0.9943964214019518
Yahaba-cho,03322,3.7533348636701973
Nishiwaga-machi,03366,0.6047585909569891
Kanegasaki-cho,03381,2.0148669056257336
Hiraizumi-cho,03402,0.8236785314362598
Sumita-cho,03441,0.3620502270341716
Otsuchi-cho,03461,0.5461791294240567
Yamada-machi,03482,0.44038565588472334
Iwaizumi-cho,03483,0.2832341156956426
Tanohata-mura,03484,0.4137776738094357
Fudai-mura,03485,0.5419211586784622
Karumai-machi,03501,0.5946450581532626
Noda-mura,03503,0.5179603471795389
Kunohe-mura,03506,0.756002344811034
Hirono-cho,03507,0.48323467261273595
Ichinohe-machi,03524,0.7710010423563101
"Sendai-shi, Aoba-ku",04101,4.166208576627278
"Sendai-shi, Miyagino-ku",04102,18.5820989325517
"Sendai-shi, Wakabayashi-ku",04103,11.212752543129078
"Sendai-shi, Taihaku-ku",04104,3.347246598408063
"Sendai-shi, Izumi-ku",04105,5.920071170462193
Ishinomaki-shi,04202,1.5534052401964953
Shiogama-shi,04203,8.690188053893667
Kesennuma-shi,04205,0.9239158840403718
Shiroishi-shi,04206,0.7486197745455797
Natori-shi,04207,5.112687545083336
Kakuda-shi,04208,1.129347793200927
Tagajo-shi,04209,14.840302714972276
Iwanuma-shi,04211,4.504182965721286
Tome-shi,04212,0.9280617034354822
Kurihara-shi,04213,0.792745704176478
Higashimatsushima-shi,04214,2.099279254214435
Osaki-shi,04215,1.2316448529254134
Tomiya-shi,04216,4.442364677450696
Zao-machi,04301,0.8072891490851191
Shichikashuku-machi,04302,0.3826074255483473
Ogawara-machi,04321,2.767438234242764
Murata-machi,04322,1.2252022691720135
Shibata-machi,04323,2.4922449256418244
Kawasaki-machi,04324,0.7244717297046361
Marumori-machi,04341,0.4055492737662487
Watari-cho,04361,2.188490305804248
Yamamoto-cho,04362,1.1024965759626806
Matsushima-machi,04401,1.4368033510362088
Shichigahama-machi,04404,6.830377870972051
Rifu-cho,04406,4.946029631764993
Taiwa-cho,04421,1.6285822512582344
Osato-cho,04422,1.0328688475912844
Ohira-mura,04424,3.193549673924009
Shikama-cho,04444,0.8742705688375841
Kami-machi,04445,0.6888420270819499
Wakuya-cho,04501,0.9508241799741812
Misato-machi,04505,1.5090752413816593
Onagawa-cho,04581,1.2063622539519978
Minamisanriku-cho,04606,0.6293657040816419
Akita-shi,05201,2.2687920452966015
Noshiro-shi,05202,1.098652174765459
Yokote-shi,05203,2.0673034653766087
Odate-shi,05204,1.2449034775302228
Oga-shi,05206,0.9186192066789377
Yuzawa-shi,05207,0.9774047677571357
Kazuno-shi,05209,0.998643443451133
Yurihonjo-shi,05210,0.7497454002146307
Katagami-shi,05211,1.7684028048017604
Daisen-shi,05212,1.5520433099162723
Kitaakita-shi,05213,0.6624565769330524
Nikaho-shi,05214,0.7563210170499278
Semboku-shi,05215,0.6357187206826628
Kosaka-machi,05303,1.2789625968820737
Kamikoani-mura,05327,0.38806405900256313
Fujisato-machi,05346,0.3977311780182645
Mitane-cho,05348,0.593643762654618
Happou-cho,05349,0.4204178556916824
Gojome-machi,05361,0.5902502817197519
Hachirogata-machi,05363,1.2514311544390246
Ikawa-machi,05366,1.454859815234721
Ogata-mura,05368,0.4145123113132924
Misato-cho,05434,1.6653663371736136
Ugo-machi,05463,1.0331754558816755
Higashinaruse-mura,05464,0.5236900637990938
Yamagata-shi,06201,4.177555439180692
Yonezawa-shi,06202,2.2551802524039886
Tsuruoka-shi,06203,0.6845036552480558
Sakata-shi,06204,1.1128612853085236
Shinjo-shi,06205,2.0034475510024885
Sagae-shi,06206,2.3665762219096638
Kaminoyama-shi,06207,1.445144610794451
Murayama-shi,06208,1.5008823258079156
Nagai-shi,06209,1.3641661904982956
Tendo-shi,06210,3.6810489586417217
Higashine-shi,06211,2.33317768064671
Obanazawa-shi,06212,0.9285284038608599
Nanyo-shi,06213,1.8271151913006127
Yamanobe-machi,06301,1.6511489650065234
Nakayama-machi,06302,3.0500239214671647
Kahoku-cho,06321,2.383095337368115
Nishikawa-machi,06322,0.675054794118771
Asahi-machi,06323,0.6930856948915933
Oe-machi,06324,0.9681534383268929
Oishida-machi,06341,1.2644087990978756
Kaneyama-machi,06361,0.7993489040770899
Mogami-machi,06362,0.5476614337796782
Funagata-machi,06363,0.9795859278849065
Mamurogawa-machi,06364,0.48724850172640877
Okura-mura,06365,0.5004131977326393
Sakegawa-mura,06366,0.7823981621061309
Tozawa-mura,06367,0.5413448518490895
Takahata-machi,06381,1.7428163860843766
Kawanishi-machi,06382,1.8105285802406708
Oguni-machi,06401,0.43081630782786623
Shirataka-machi,06402,1.1038983925760895
Iide-machi,06403,0.8008335667232629
Mikawa-machi,06426,1.4966750237766164
Shonai-machi,06428,0.7765629760881455
Yuza-machi,06461,0.5345940967436796
Fukushima-shi,07201,1.6433920640464736
Aizuwakamatsu-shi,07202,1.4546062333491168
Koriyama-shi,07203,2.296962004646848
Iwaki-shi,07204,1.3818095275944515
Shirakawa-shi,07205,1.305371895283762
Sukagawa-shi,07207,1.192767768175798
Kitakata-shi,07208,0.6812677722504886
Soma-shi,07209,1.1059202610117687
Nihonmatsu-shi,07210,0.9359431562159372
Tamura-shi,07211,0.6185182209212099
Minamisoma-shi,07212,0.9340783085825153
Date-shi,07213,0.9767727196450084
Motomiya-shi,07214,2.183452026603909
Kori-machi,07301,1.4336378639777594
Kunimi-machi,07303,1.2467549764927688
Kawamata-machi,07308,0.5666390850623841
Otama-mura,07322,0.7448499300267168
Kagamiishi-machi,07342,2.4774671079213597
Tenei-mura,07344,0.37779084736303986
Shimogo-machi,07362,0.3356886973621914
Hinoemata-mura,07364,0.26278082517395374
Tadami-machi,07367,0.29792493140135257
Minamiaizu-machi,07368,0.3804611301414789
Kitashiobara-mura,07402,0.5251887319217832
Nishiaizu-machi,07405,0.5862770395610797
Bandai-machi,07407,1.5015018111504366
Inawashiro-machi,07408,1.3057822319198995
Aizubange-machi,07421,1.4009549179362268
Yugawa-mura,07422,1.8276376481795067
Yanaizu-machi,07423,0.5384688951818614
Mishima-machi,07444,0.3973253840571553
Kaneyama-machi,07445,0.3327534814140339
Showa-mura,07446,0.3077245596687594
Aizumisato-machi,07447,0.6151993238467812
Nishigo-mura,07461,1.0096111459474237
Izumizaki-mura,07464,1.5473855754168573
Nakajima-mura,07465,1.003177341614398
Yabuki-machi,07466,1.723476406647874
Tanagura-machi,07481,0.7010352646612861
Yamatsuri-machi,07482,0.365818596460828
Hanawa-machi,07483,0.3741241886962291
Samegawa-mura,07484,0.3490654440396942
Ishikawa-machi,07501,0.7779973699104726
Tamakawa-mura,07502,1.2250030028750611
Hirata-mura,07503,0.590222040794581
Asakawa-machi,07504,0.9029645138203192
Furudono-machi,07505,0.33104039705846194
Miharu-machi,07521,1.3735726378612294
Ono-machi,07522,0.807441855592842
Hirono-machi,07541,1.6554603582134926
Naraha-machi,07542,1.0989161283778603
Tomioka-machi,07543,1.1432155172981746
Kawauchi-mura,07544,0.3110523845585789
Okuma-machi,07545,1.5715036479811013
Futaba-machi,07546,0.8877334930317355
Namie-machi,07547,0.3702747490248311
Katsurao-mura,07548,0.3759401762567982
Shinchi-machi,07561,2.001172186509214
Iitate-mura,07564,0.3442628531682477
Mito-shi,08201,6.561832497218483
Hitachi-shi,08202,3.6924951617927815
Tsuchiura-shi,08203,7.2378453570034
Koga-shi,08204,6.307949389193792
Ishioka-shi,08205,1.9372778190964561
Yuki-shi,08207,4.600936149143943
Ryugasaki-shi,08208,4.733745077060274
Shimotsuma-shi,08210,3.3646775946819436
Joso-shi,08211,3.5828355671942274
Hitachiota-shi,08212,0.8682451714849571
Takahagi-shi,08214,0.9879190156590187
Kitaibaraki-shi,08215,1.2550868318296322
Kasama-shi,08216,1.7000177998641421
Toride-shi,08217,6.326316719300291
Ushiku-shi,08219,5.959709502541361
Tsukuba-shi,08220,5.576675060049887
Hitachinaka-shi,08221,8.185953590945793
Kashima-shi,08222,5.646825953226492
Itako-shi,08223,2.7378712848040268
Moriya-shi,08224,10.192882757997955
Hitachiomiya-shi,08225,0.8230142752964623
Naka-shi,08226,2.756177077407623
Chikusei-shi,08227,3.0856920949277375
Bando-shi,08228,3.404394919015015
Inashiki-shi,08229,1.8051078130159046
Kasumigaura-shi,08230,1.943118684152013
Sakuragawa-shi,08231,1.3543669738133621
Kamisu-shi,08232,9.102014764690045
Namegata-shi,08233,1.517307404814591
Hokota-shi,08234,1.4726184230184303
Tsukubamirai-shi,08235,4.179588302350207
Omitama-shi,08236,2.6142596604028245
Ibaraki-machi,08302,2.139250146130312
Oarai-machi,08309,5.863389056644507
Shirosato-machi,08310,0.7741413945793876
Tokai-mura,08341,8.452566580690696
Daigo-machi,08364,0.5302163680135655
Miho-mura,08442,3.677981723935218
Ami-machi,08443,4.804121797310645
Kawachi-machi,08447,1.456673122853375
Yachiyo-machi,08521,2.50443623010367
Goka-machi,08542,5.584687123460711
Sakai-machi,08546,3.7863690222547386
Tone-machi,08564,2.414604252436039
Utsunomiya-shi,09201,6.255918864420333
Ashikaga-shi,09202,3.703930311494494
Tochigi-shi,09203,2.412440068955678
Sano-shi,09204,1.898529021452004
Kanuma-shi,09205,1.161160556208954
Nikko-shi,09206,0.6373860201550094
Oyama-shi,09208,5.124984911931273
Moka-shi,09209,3.425290000655455
Ohtawara-shi,09210,1.2638758516975654
Yaita-shi,09211,1.326047044949883
Nasushiobara-shi,09213,1.318304188606755
Sakura-shi,09214,2.0411587817717973
Nasukarasuyama-shi,09215,1.00208417065189
Shimotsuke-shi,09216,4.183637307259626
Kaminokawa-machi,09301,4.879485212793214
Mashiko-machi,09342,0.9896356467093819
Motegi-machi,09343,0.7401290653921779
Ichikai-machi,09344,1.1371752629282668
Haga-machi,09345,2.547259385728505
Mibu-machi,09361,2.964359714754806
Nogi-machi,09364,4.021815577839608
Shioya-machi,09384,0.6344548688031871
Takanezawa-machi,09386,1.8167215794554676
Nasu-machi,09407,0.8101274384778234
Nakagawa-machi,09411,0.6599247878545661
Maebashi-shi,10201,4.46872586666278
Takasaki-shi,10202,3.182818957744848
Kiryu-shi,10203,1.4857190888240261
Isesaki-shi,10204,7.302826608813846
Ota-shi,10205,6.414680918410998
Numata-shi,10206,0.7564977477683981
Tatebayashi-shi,10207,5.7756278664263405
Shibukawa-shi,10208,1.4997913810320769
